"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","lp__",-924.809331,-923.839,5.33208407423649,2.9792847,-931.63315,-920.60795,1.00160437736259,1720.10050901867,1741.51009469236
"2","lp_approx__",-3.5234403485,-3.21762,1.87099211391286,1.801989105,-6.9340005,-1.059824,1.00076522530155,1894.2902497011,1922.39429412326
"3","I",1.52218988,1.52233,0.0295903163602005,0.0301190190000001,1.473045,1.5701405,1.00137784858642,1781.79164108982,1761.34138931681
"4","m",0.993402568,0.9936035,0.0288232383715725,0.0295237551,0.9464781,1.0402675,0.99967087799863,2006.27289074148,2042.02577386198
"5","lam",0.12579676775,0.122206,0.0282322287794303,0.0259410522,0.084922555,0.1786908,0.999948553703534,1877.44718085041,2002.87030852694
"6","gamma",2.682126855,2.681105,0.0925834558731185,0.0881628090000001,2.529908,2.836332,0.99991502645239,2123.19327473186,1855.16516764727
"7","beta",1.2388737095,1.23836,0.0974924900916694,0.0948048570000002,1.0827635,1.398168,0.999521960787547,1980.31519362404,1812.71793417668
"8","stay",0.930554991,0.9287,0.0620131063326813,0.0589318674,0.83265735,1.0360185,1.00174176502356,1786.48912800407,1682.51199812504
"9","alpha",1.352626385,1.352075,0.0267398931977278,0.026353215,1.3081375,1.397568,1.0004965109398,1963.76552948994,1998.8273201918
"10","k",1,1,0,0,1,1,NA,NA,NA
"11","tau",0,0,0,0,0,0,NA,NA,NA
"12","Chain",1,1,0,0,1,1,NA,NA,NA
