"fourcluster","treatment","speed","precision","bias","stay","N"
1,1,2.16303218401287,0.774277444670639,0.208282890710543,1.43054733307353,1
1,2,1.51808442894014,0.839231301627437,0.212229181710691,1.020728969,1
1,3,1.5767400275203,0.751506960750445,0.179153791595914,1.53779206020506,1
2,1,4.59394791135421,0.731177751371824,0.44648675560693,1.3304437025,1
2,2,1.0869078782609,0.998085031392494,0.156806707032474,0.88034077575,1
2,3,3.38607239140277,0.697452774203778,0.363742989825267,1.72111059316667,1
3,1,4.3162108135274,0.641954419318419,0.242211245946653,0.5860254376375,1
3,2,5.15263804536948,0.65306562020096,0.237709822787753,0.674604121342857,1
3,3,4.14359915600512,0.618404588670308,0.170921989646392,0.60717940995,1
4,1,3.45026905549889,0.697950728328529,0.210724400654796,0.785705698891892,1
4,2,3.29681340815077,0.718626510404267,0.227490154867414,0.808255441701724,1
4,3,2.99237822850708,0.67662656635366,0.194239571869153,0.874614618303125,1
